ID,HIST1H4I,HIST1H4E,HIST1H4J,HIST1H4H,HIST1H4C,HIST2H4B,HIST1H4F,HIST1H4K,HIST1H2BJ,HIST1H2BB,lable
GSM6150885_CD0463_20070127_U133Plus2.CEL.gz,5.851233055,5.851233055,5.851233055,5.851233055,5.851233055,5.851233055,5.851233055,5.851233055,8.68770354,5.615874523,0
GSM6150887_CD0504_20070127_U133Plus2.CEL.gz,6.332489549,6.332489549,6.332489549,6.332489549,6.332489549,6.332489549,6.332489549,6.332489549,8.109078101,5.611904187,0
GSM6150892_CD0679_20070206_U133Plus2.CEL.gz,5.722622758,5.722622758,5.722622758,5.722622758,5.722622758,5.722622758,5.722622758,5.722622758,6.633153245,5.459638241,0
GSM6150894_CD0685_20070128_U133Plus2.CEL.gz,5.085142141,5.085142141,5.085142141,5.085142141,5.085142141,5.085142141,5.085142141,5.085142141,6.601537491,5.024227266,0
GSM6150895_CD0700_20080522_U133Plus2.CEL.gz,5.557773135,5.557773135,5.557773135,5.557773135,5.557773135,5.557773135,5.557773135,5.557773135,9.047526075,5.314721821,0
GSM6150897_CD1082_20080523_U133Plus2.CEL.gz,5.584214174,5.584214174,5.584214174,5.584214174,5.584214174,5.584214174,5.584214174,5.584214174,8.625974046,5.55473857,0
GSM6150898_CD1321_20080516_U133Plus2.CEL.gz,5.547330852,5.547330852,5.547330852,5.547330852,5.547330852,5.547330852,5.547330852,5.547330852,6.716990159,5.217361097,0
GSM6150899_CD1406_20080516_U133Plus2.CEL.gz,5.769182726,5.769182726,5.769182726,5.769182726,5.769182726,5.769182726,5.769182726,5.769182726,7.836557829,5.381884128,0
GSM6150901_CD1509_20080522_U133Plus2.CEL.gz,5.69731558,5.69731558,5.69731558,5.69731558,5.69731558,5.69731558,5.69731558,5.69731558,8.579549543,5.275588978,0
GSM6150904_CD1695_20080521_U133Plus2.CEL.gz,5.807946412,5.807946412,5.807946412,5.807946412,5.807946412,5.807946412,5.807946412,5.807946412,8.169876718,5.316882687,0
GSM6150905_CD1805_20080523_U133Plus2.CEL.gz,5.466846123,5.466846123,5.466846123,5.466846123,5.466846123,5.466846123,5.466846123,5.466846123,7.513380615,5.202442134,0
GSM6150906_CD1817_20080516_U133Plus2.CEL.gz,5.47858356,5.47858356,5.47858356,5.47858356,5.47858356,5.47858356,5.47858356,5.47858356,8.494588056,5.332176209,0
GSM6150907_CD1821_20080527_U133Plus2.CEL.gz,5.661232285,5.661232285,5.661232285,5.661232285,5.661232285,5.661232285,5.661232285,5.661232285,9.15928225,5.382046213,0
GSM6150908_CD1843_20080527_U133Plus2.CEL.gz,5.336728907,5.336728907,5.336728907,5.336728907,5.336728907,5.336728907,5.336728907,5.336728907,8.271736442,5.238164695,0
